data_id,name,train_end_idx,anomaly_start,anomaly_end
61,DISTORTEDgait3,24500,59900,60500
62,DISTORTEDgaitHunt1,18500,33070,33180
63,DISTORTEDgaitHunt2,18500,31200,31850
64,DISTORTEDgaitHunt3,23400,38400,39200
65,DISTORTEDinsectEPG1,3000,7000,7030
66,DISTORTEDinsectEPG2,3700,8000,8025
67,DISTORTEDinsectEPG3,5200,7000,7050
68,DISTORTEDinsectEPG4,1300,6508,6558
69,DISTORTEDinsectEPG5,3200,8500,8501
70,DISTORTEDltstdbs30791AI,17555,52600,52800
71,DISTORTEDltstdbs30791AS,23000,52600,52800
72,DISTORTEDltstdbs30791ES,20000,52600,52800
73,DISTORTEDpark3m,60000,72150,72495
74,DISTORTEDqtdbSel1005V,4000,12400,12800
75,DISTORTEDqtdbSel100MLII,4000,13400,13800
76,DISTORTEDresperation10,48000,130700,131880
77,DISTORTEDresperation11,58000,110800,110801
78,DISTORTEDresperation1,100000,110260,110412
79,DISTORTEDresperation2,30000,168250,168250
80,DISTORTEDresperation2,30000,168250,168251
81,DISTORTEDresperation3,45000,158250,158251
82,DISTORTEDresperation4,70000,128430,128431
83,DISTORTEDresperation9,38000,143411,143511
84,DISTORTEDs20101mML2,12000,35774,35874
85,DISTORTEDs20101m,10000,35774,35874
86,DISTORTEDsddb49,20000,67950,68200
87,DISTORTEDsel840mECG1,17000,51370,51740
88,DISTORTEDsel840mECG2,20000,49370,49740
89,DISTORTEDtiltAPB1,100000,114283,114350
90,DISTORTEDtiltAPB2,50000,124159,124985
91,DISTORTEDtiltAPB3,40000,114000,114370
92,DISTORTEDtiltAPB4,20000,67995,67996
93,NOISE1sddb40,35000,52000,52620
94,NOISEBIDMC1,2500,5400,5600
95,NOISECIMIS44AirTemperature4,4000,5549,5597
96,NOISEECG4,5000,16900,17100
97,NOISEGP711MarkerLFM5z3,5000,5948,5993
98,NOISEInternalBleeding16,1200,4187,4199
99,NOISEInternalBleeding6,1500,3474,3629
100,NOISELab2Cmac011215EPG1,5000,17210,17260
101,NOISELab2Cmac011215EPG4,6000,17390,17520
102,NOISEMesoplodonDensirostris,10000,19280,19440
103,NOISETkeepThirdMARS,3500,4711,4809
104,NOISEapneaecg4,6000,16000,16100
105,NOISEgait3,24500,59900,60500
106,NOISEgaitHunt2,18500,31200,31850
107,NOISEinsectEPG3,5200,7000,7050
108,NOISEresperation2,30000,168250,168250
109,1sddb40,35000,52000,52620
110,2sddb40,35000,56600,56900
111,3sddb40,35000,46600,46900
112,BIDMC1,2500,5400,5600
113,CIMIS44AirTemperature1,4000,5391,5392
114,CIMIS44AirTemperature2,4000,5703,5727
115,CIMIS44AirTemperature3,4000,6520,6544
116,CIMIS44AirTemperature4,4000,5549,5597
117,CIMIS44AirTemperature5,4000,4852,4900
118,CIMIS44AirTemperature6,4000,6006,6054
119,ECG1,10000,11800,12100
120,ECG2,15000,16000,16100
121,ECG3,15000,16000,16100
122,ECG3,8000,17000,17100
123,ECG4,5000,16800,17100
124,ECG4,5000,16900,17100
125,ECG4,5000,17000,17100
126,ECG4,8000,17000,17100
127,GP711MarkerLFM5z1,5000,6168,6212
128,GP711MarkerLFM5z2,5000,7175,7388
129,GP711MarkerLFM5z3,5000,5948,5993
130,GP711MarkerLFM5z4,4000,6527,6645
131,GP711MarkerLFM5z5,5000,8612,8716
132,InternalBleeding10,3200,4526,4556
133,InternalBleeding14,2800,5607,5634
134,InternalBleeding15,1700,5684,5854
135,InternalBleeding16,1200,4187,4199
136,InternalBleeding17,1600,3198,3309
137,InternalBleeding18,2300,4485,4587
138,InternalBleeding19,3000,4187,4197
139,InternalBleeding20,2700,5759,5919
140,InternalBleeding4,1000,4675,5033
141,InternalBleeding5,4000,6200,6370
142,InternalBleeding6,1500,3474,3629
143,InternalBleeding8,2500,5865,5974
144,InternalBleeding9,4200,6599,6681
145,Lab2Cmac011215EPG1,5000,17210,17260
146,Lab2Cmac011215EPG2,5000,27862,27932
147,Lab2Cmac011215EPG3,5000,16390,16420
148,Lab2Cmac011215EPG4,6000,17390,17520
149,Lab2Cmac011215EPG5,7000,17390,17520
150,Lab2Cmac011215EPG6,7000,12190,12420
151,MesoplodonDensirostris,10000,19280,19440
152,PowerDemand1,9000,18485,18821
153,PowerDemand2,14000,23357,23717
154,PowerDemand3,16000,23405,23477
155,PowerDemand4,18000,24005,24077
156,TkeepFifthMARS,3500,5988,6085
157,TkeepFirstMARS,3500,5365,5380
158,TkeepForthMARS,3500,5988,6085
159,TkeepSecondMARS,3500,9330,9340
160,TkeepThirdMARS,3500,4711,4809
161,WalkingAceleration1,1500,2764,2995
162,WalkingAceleration5,2700,5920,5979
163,apneaecg2,10000,20950,21100
164,apneaecg3,5000,11111,11211
165,apneaecg4,6000,16000,16100
166,apneaecg,10000,12240,12308
167,gait1,20000,38500,38800
168,gait2,22000,46500,46800
169,gait3,24500,59900,60500
170,gaitHunt1,18500,33070,33180
171,gaitHunt2,18500,31200,31850
172,gaitHunt3,23400,38400,39200
173,insectEPG1,3000,7000,7030
174,insectEPG2,3700,8000,8025
175,insectEPG3,5200,7000,7050
176,insectEPG4,1300,6508,6558
177,insectEPG5,3200,8500,8501
178,ltstdbs30791AI,17555,52600,52800
179,ltstdbs30791AS,23000,52600,52800
180,ltstdbs30791ES,20000,52600,52800
181,park3m,60000,72150,72495
182,qtdbSel1005V,4000,12400,12800
183,qtdbSel100MLII,4000,13400,13800
184,resperation10,48000,130700,131880
185,resperation11,58000,110800,110801
186,resperation1,100000,110260,110412
187,resperation2,30000,168250,168250
188,resperation2,30000,168250,168251
189,resperation3,45000,158250,158251
190,resperation4,70000,128430,128431
191,resperation9,38000,143411,143511
192,s20101mML2,12000,35774,35874
193,s20101m,10000,35774,35874
194,sddb49,20000,67950,68200
195,sel840mECG1,17000,51370,51740
196,sel840mECG2,20000,49370,49740
197,tiltAPB1,100000,114283,114350
198,tiltAPB2,50000,124159,124985
199,tiltAPB3,40000,114000,114370
200,tiltAPB4,20000,67995,67996
201,CHARISfive,10000,17001,17016
202,CHARISfive,10411,10998,11028
203,CHARISfive,11812,10995,11028
204,CHARISfive,12412,15000,15070
205,CHARISfive,9812,28995,29085
206,CHARISten,25130,29080,29140
207,CHARISten,3165,26929,26989
208,CHARISten,5130,27929,27989
209,Fantasia,19000,26970,27270
210,Italianpowerdemand,36123,74900,74996
211,Italianpowerdemand,38113,39240,39336
212,Italianpowerdemand,8913,29480,29504
213,STAFFIIIDatabase,33211,126920,127370
214,STAFFIIIDatabase,34211,125720,126370
215,STAFFIIIDatabase,36276,106720,107370
216,STAFFIIIDatabase,37216,160720,161370
217,STAFFIIIDatabase,38211,150720,151370
218,STAFFIIIDatabase,41117,210720,211370
219,STAFFIIIDatabase,41612,64632,64852
220,STAFFIIIDatabase,43217,250720,251370
221,STAFFIIIDatabase,45616,163632,164852
222,mit14046longtermecg,56123,91200,91700
223,mit14046longtermecg,74123,131200,131700
224,mit14046longtermecg,76123,191200,191700
225,mit14046longtermecg,81214,143000,143300
226,mit14046longtermecg,96123,123000,123300
227,mit14134longtermecg,11231,29000,29100
228,mit14134longtermecg,11361,47830,47850
229,mit14134longtermecg,16363,57960,57970
230,mit14134longtermecg,19363,19510,19610
231,mit14134longtermecg,8763,47530,47790
232,mit14134longtermecg,8763,57530,57790
233,mit14157longtermecg,18913,24500,24501
234,mit14157longtermecg,18913,24600,24601
235,mit14157longtermecg,18913,75450,75451
236,mit14157longtermecg,19313,46350,46390
237,mit14157longtermecg,19313,89560,90370
238,mit14157longtermecg,21311,72600,72780
239,taichidbS0715Master,190037,593450,593514
240,taichidbS0715Master,240030,884100,884200
241,taichidbS0715Master,250000,837400,839100
242,tilt12744mtable,100000,104630,104890
243,tilt12744mtable,100000,203355,203400
244,tilt12754table,100013,104630,104890
245,tilt12754table,100211,270800,271070
246,tilt12755mtable,100211,270800,271070
247,tilt12755mtable,50211,121900,121980
248,weallwalk,2000,4702,4707
249,weallwalk,2753,8285,8315
250,weallwalk,2951,7290,7296
